t_s,phase,channel,unit,value
13.214,static,vcc_soc,mV,804
13.217,static,vp_vn,mV,129
13.220,static,die_temp,mC,37320
13.224,static,versal_thermal,mC,37195
13.733,static,vccaux,mV,1501
13.737,static,vccaux_pmc,mV,1501
13.740,static,vcc_pmc,mV,875
13.743,static,vcc_psfp,mV,879
13.746,static,vcc_pslp,mV,879
13.750,static,vcc_soc,mV,804
13.753,static,vp_vn,mV,129
13.756,static,die_temp,mC,37203
13.759,static,versal_thermal,mC,37414
14.268,static,vccaux,mV,1502
14.271,static,vccaux_pmc,mV,1500
14.274,static,vcc_pmc,mV,875
14.277,static,vcc_psfp,mV,880
14.280,static,vcc_pslp,mV,880
14.284,static,vcc_soc,mV,804
14.287,static,vp_vn,mV,129
14.290,static,die_temp,mC,37140
14.293,static,versal_thermal,mC,37320
14.801,static,vccaux,mV,1502
14.805,static,vccaux_pmc,mV,1502
14.808,static,vcc_pmc,mV,875
14.811,static,vcc_psfp,mV,882
14.814,static,vcc_pslp,mV,879
14.817,static,vcc_soc,mV,805
14.821,static,vp_vn,mV,130
14.824,static,die_temp,mC,37226
14.827,static,versal_thermal,mC,37101
15.335,static,vccaux,mV,1502
15.338,static,vccaux_pmc,mV,1500
15.341,static,vcc_pmc,mV,876
15.345,static,vcc_psfp,mV,881
15.348,static,vcc_pslp,mV,879
15.351,static,vcc_soc,mV,804
15.354,static,vp_vn,mV,129
15.357,static,die_temp,mC,37531
15.360,static,versal_thermal,mC,37187
15.869,static,vccaux,mV,1502
15.872,static,vccaux_pmc,mV,1502
15.875,static,vcc_pmc,mV,876
15.878,static,vcc_psfp,mV,881
15.881,static,vcc_pslp,mV,879
15.885,static,vcc_soc,mV,803
15.891,static,vp_vn,mV,129
15.894,static,die_temp,mC,37289
15.897,static,versal_thermal,mC,37335
16.406,static,vccaux,mV,1501
16.409,static,vccaux_pmc,mV,1502
16.413,static,vcc_pmc,mV,876
16.416,static,vcc_psfp,mV,879
16.419,static,vcc_pslp,mV,880
16.422,static,vcc_soc,mV,804
16.425,static,vp_vn,mV,129
16.428,static,die_temp,mC,37046
16.431,static,versal_thermal,mC,37414
16.940,static,vccaux,mV,1501
16.943,static,vccaux_pmc,mV,1502
16.946,static,vcc_pmc,mV,877
16.950,static,vcc_psfp,mV,881
16.953,static,vcc_pslp,mV,879
16.956,static,vcc_soc,mV,803
16.959,static,vp_vn,mV,129
16.962,static,die_temp,mC,37734
16.966,static,versal_thermal,mC,37187
17.474,static,vccaux,mV,1502
17.477,static,vccaux_pmc,mV,1503
17.480,static,vcc_pmc,mV,876
17.484,static,vcc_psfp,mV,880
17.487,static,vcc_pslp,mV,879
17.490,static,vcc_soc,mV,805
17.493,static,vp_vn,mV,129
17.497,static,die_temp,mC,37343
17.500,static,versal_thermal,mC,37195
18.008,static,vccaux,mV,1503
18.012,static,vccaux_pmc,mV,1501
18.015,static,vcc_pmc,mV,877
18.018,static,vcc_psfp,mV,878
18.021,static,vcc_pslp,mV,879
18.024,static,vcc_soc,mV,805
18.028,static,vp_vn,mV,129
18.031,static,die_temp,mC,37281
18.034,static,versal_thermal,mC,37468
18.543,static,vccaux,mV,1502
18.546,static,vccaux_pmc,mV,1501
18.549,static,vcc_pmc,mV,876
18.552,static,vcc_psfp,mV,879
18.556,static,vcc_pslp,mV,880
18.559,static,vcc_soc,mV,804
18.562,static,vp_vn,mV,130
18.565,static,die_temp,mC,37609
18.569,static,versal_thermal,mC,37484
19.077,static,vccaux,mV,1502
19.080,static,vccaux_pmc,mV,1501
19.083,static,vcc_pmc,mV,877
19.087,static,vcc_psfp,mV,874
19.090,static,vcc_pslp,mV,879
19.093,static,vcc_soc,mV,804
19.096,static,vp_vn,mV,129
19.100,static,die_temp,mC,37710
19.103,static,versal_thermal,mC,37335
19.612,static,vccaux,mV,1502
19.615,static,vccaux_pmc,mV,1503
19.618,static,vcc_pmc,mV,876
19.621,static,vcc_psfp,mV,880
19.625,static,vcc_pslp,mV,878
19.628,static,vcc_soc,mV,804
19.631,static,vp_vn,mV,130
19.634,static,die_temp,mC,37609
19.638,static,versal_thermal,mC,37390
20.146,static,vccaux,mV,1502
20.149,static,vccaux_pmc,mV,1502
20.152,static,vcc_pmc,mV,876
20.156,static,vcc_psfp,mV,878
20.159,static,vcc_pslp,mV,880
20.162,static,vcc_soc,mV,804
20.166,static,vp_vn,mV,128
20.170,static,die_temp,mC,37007
20.175,static,versal_thermal,mC,37226
20.683,static,vccaux,mV,1503
20.686,static,vccaux_pmc,mV,1502
20.690,static,vcc_pmc,mV,875
20.692,static,vcc_psfp,mV,879
20.696,static,vcc_pslp,mV,879
20.699,static,vcc_soc,mV,804
20.702,static,vp_vn,mV,129
20.705,static,die_temp,mC,37039
20.709,static,versal_thermal,mC,37421
21.217,static,vccaux,mV,1501
21.220,static,vccaux_pmc,mV,1501
21.223,static,vcc_pmc,mV,876
21.226,static,vcc_psfp,mV,877
21.229,static,vcc_pslp,mV,879
21.232,static,vcc_soc,mV,803
21.235,static,vp_vn,mV,129
21.239,static,die_temp,mC,37085
21.242,static,versal_thermal,mC,37406
21.751,static,vccaux,mV,1501
21.753,static,vccaux_pmc,mV,1501
21.757,static,vcc_pmc,mV,876
21.760,static,vcc_psfp,mV,879
21.763,static,vcc_pslp,mV,880
21.766,static,vcc_soc,mV,803
21.770,static,vp_vn,mV,129
21.773,static,die_temp,mC,37304
21.776,static,versal_thermal,mC,37101
22.285,static,vccaux,mV,1502
22.288,static,vccaux_pmc,mV,1500
22.291,static,vcc_pmc,mV,876
22.294,static,vcc_psfp,mV,879
22.297,static,vcc_pslp,mV,879
22.300,static,vcc_soc,mV,804
22.303,static,vp_vn,mV,128
22.306,static,die_temp,mC,37242
22.309,static,versal_thermal,mC,37179
22.818,static,vccaux,mV,1502
22.821,static,vccaux_pmc,mV,1502
22.824,static,vcc_pmc,mV,877
22.828,static,vcc_psfp,mV,882
22.831,static,vcc_pslp,mV,880
22.834,static,vcc_soc,mV,804
22.838,static,vp_vn,mV,130
22.841,static,die_temp,mC,37085
22.844,static,versal_thermal,mC,37406
23.353,static,vccaux,mV,1502
23.356,static,vccaux_pmc,mV,1501
23.359,static,vcc_pmc,mV,876
23.363,static,vcc_psfp,mV,880
23.366,static,vcc_pslp,mV,879
23.369,static,vcc_soc,mV,805
23.372,static,vp_vn,mV,130
23.376,static,die_temp,mC,37492
23.379,static,versal_thermal,mC,37406
23.887,static,vccaux,mV,1502
23.891,static,vccaux_pmc,mV,1502
23.894,static,vcc_pmc,mV,875
23.897,static,vcc_psfp,mV,878
23.901,static,vcc_pslp,mV,880
23.904,static,vcc_soc,mV,804
23.908,static,vp_vn,mV,129
23.911,static,die_temp,mC,37312
23.914,static,versal_thermal,mC,37429
24.423,static,vccaux,mV,1503
24.427,static,vccaux_pmc,mV,1502
24.430,static,vcc_pmc,mV,876
24.433,static,vcc_psfp,mV,874
24.437,static,vcc_pslp,mV,880
24.440,static,vcc_soc,mV,804
24.443,static,vp_vn,mV,129
24.446,static,die_temp,mC,37804
24.451,static,versal_thermal,mC,37140
24.958,static,vccaux,mV,1501
24.961,static,vccaux_pmc,mV,1502
24.965,static,vcc_pmc,mV,876
24.968,static,vcc_psfp,mV,881
24.971,static,vcc_pslp,mV,880
24.974,static,vcc_soc,mV,805
24.978,static,vp_vn,mV,130
24.981,static,die_temp,mC,36945
24.984,static,versal_thermal,mC,37640
25.493,static,vccaux,mV,1503
25.496,static,vccaux_pmc,mV,1502
25.499,static,vcc_pmc,mV,876
25.502,static,vcc_psfp,mV,881
25.506,static,vcc_pslp,mV,880
25.509,static,vcc_soc,mV,803
25.512,static,vp_vn,mV,129
25.515,static,die_temp,mC,37312
25.519,static,versal_thermal,mC,37273
26.027,static,vccaux,mV,1502
26.031,static,vccaux_pmc,mV,1500
26.033,static,vcc_pmc,mV,876
26.037,static,vcc_psfp,mV,879
26.041,static,vcc_pslp,mV,879
26.043,static,vcc_soc,mV,804
26.047,static,vp_vn,mV,130
26.053,static,die_temp,mC,37492
26.054,static,versal_thermal,mC,37195
26.563,static,vccaux,mV,1502
26.567,static,vccaux_pmc,mV,1502
26.570,static,vcc_pmc,mV,876
26.573,static,vcc_psfp,mV,881
26.577,static,vcc_pslp,mV,879
26.581,static,vcc_soc,mV,803
26.584,static,vp_vn,mV,129
26.587,static,die_temp,mC,37140
26.590,static,versal_thermal,mC,37070
27.099,static,vccaux,mV,1501
27.102,static,vccaux_pmc,mV,1503
27.105,static,vcc_pmc,mV,876
27.109,static,vcc_psfp,mV,876
27.111,static,vcc_pslp,mV,880
27.115,static,vcc_soc,mV,803
27.118,static,vp_vn,mV,129
27.121,static,die_temp,mC,37156
27.125,static,versal_thermal,mC,37226
27.633,static,vccaux,mV,1502
27.636,static,vccaux_pmc,mV,1501
27.639,static,vcc_pmc,mV,877
27.643,static,vcc_psfp,mV,877
27.646,static,vcc_pslp,mV,879
27.649,static,vcc_soc,mV,804
27.652,static,vp_vn,mV,129
27.656,static,die_temp,mC,36992
27.659,static,versal_thermal,mC,37226
28.168,static,vccaux,mV,1501
28.171,static,vccaux_pmc,mV,1500
28.175,static,vcc_pmc,mV,877
28.177,static,vcc_psfp,mV,880
28.181,static,vcc_pslp,mV,880
28.184,static,vcc_soc,mV,803
28.187,static,vp_vn,mV,128
28.190,static,die_temp,mC,37304
28.195,static,versal_thermal,mC,37195
28.702,static,vccaux,mV,1502
28.705,static,vccaux_pmc,mV,1501
28.709,static,vcc_pmc,mV,876
28.712,static,vcc_psfp,mV,878
28.715,static,vcc_pslp,mV,880
28.719,static,vcc_soc,mV,804
28.722,static,vp_vn,mV,129
28.725,static,die_temp,mC,37179
28.729,static,versal_thermal,mC,37125
29.237,static,vccaux,mV,1501
29.240,static,vccaux_pmc,mV,1501
29.244,static,vcc_pmc,mV,877
29.247,static,vcc_psfp,mV,878
29.250,static,vcc_pslp,mV,880
29.254,static,vcc_soc,mV,803
29.257,static,vp_vn,mV,129
29.260,static,die_temp,mC,37085
29.263,static,versal_thermal,mC,37445
29.772,static,vccaux,mV,1501
29.774,static,vccaux_pmc,mV,1502
29.778,static,vcc_pmc,mV,876
29.782,static,vcc_psfp,mV,876
29.784,static,vcc_pslp,mV,880
29.788,static,vcc_soc,mV,805
29.791,static,vp_vn,mV,129
29.794,static,die_temp,mC,37101
29.797,static,versal_thermal,mC,37578
30.306,static,vccaux,mV,1504
30.310,static,vccaux_pmc,mV,1501
30.312,static,vcc_pmc,mV,875
30.316,static,vcc_psfp,mV,881
30.319,static,vcc_pslp,mV,880
30.323,static,vcc_soc,mV,804
30.325,static,vp_vn,mV,129
30.329,static,die_temp,mC,37187
30.334,static,versal_thermal,mC,37453
30.846,static,vccaux,mV,1502
30.848,static,vccaux_pmc,mV,1500
30.852,static,vcc_pmc,mV,875
30.855,static,vcc_psfp,mV,880
30.858,static,vcc_pslp,mV,879
30.861,static,vcc_soc,mV,804
30.864,static,vp_vn,mV,128
30.868,static,die_temp,mC,37218
30.871,static,versal_thermal,mC,37554
31.379,static,vccaux,mV,1502
31.382,static,vccaux_pmc,mV,1500
31.385,static,vcc_pmc,mV,876
31.388,static,vcc_psfp,mV,881
31.392,static,vcc_pslp,mV,879
31.395,static,vcc_soc,mV,803
31.398,static,vp_vn,mV,129
31.401,static,die_temp,mC,37484
31.404,static,versal_thermal,mC,37320
31.912,static,vccaux,mV,1501
31.915,static,vccaux_pmc,mV,1501
31.919,static,vcc_pmc,mV,876
31.922,static,vcc_psfp,mV,877
31.925,static,vcc_pslp,mV,880
31.928,static,vcc_soc,mV,806
31.931,static,vp_vn,mV,129
31.934,static,die_temp,mC,37539
31.937,static,versal_thermal,mC,37023
32.446,static,vccaux,mV,1502
32.448,static,vccaux_pmc,mV,1501
32.452,static,vcc_pmc,mV,876
32.455,static,vcc_psfp,mV,878
32.458,static,vcc_pslp,mV,879
32.461,static,vcc_soc,mV,805
32.464,static,vp_vn,mV,128
32.467,static,die_temp,mC,37382
32.470,static,versal_thermal,mC,37117
32.979,static,vccaux,mV,1502
32.982,static,vccaux_pmc,mV,1501
32.985,static,vcc_pmc,mV,877
32.988,static,vcc_psfp,mV,877
32.991,static,vcc_pslp,mV,879
32.994,static,vcc_soc,mV,803
32.997,static,vp_vn,mV,129
33.001,static,die_temp,mC,37226
33.004,static,versal_thermal,mC,37414
33.512,static,vccaux,mV,1501
33.515,static,vccaux_pmc,mV,1501
33.518,static,vcc_pmc,mV,876
33.521,static,vcc_psfp,mV,876
33.524,static,vcc_pslp,mV,879
33.527,static,vcc_soc,mV,805
33.531,static,vp_vn,mV,129
33.534,static,die_temp,mC,36882
33.537,static,versal_thermal,mC,37328
34.045,static,vccaux,mV,1502
34.048,static,vccaux_pmc,mV,1500
34.052,static,vcc_pmc,mV,876
34.055,static,vcc_psfp,mV,880
34.058,static,vcc_pslp,mV,879
34.061,static,vcc_soc,mV,804
34.065,static,vp_vn,mV,129
34.070,static,die_temp,mC,37304
34.074,static,versal_thermal,mC,37304
34.584,static,vccaux,mV,1502
34.587,static,vccaux_pmc,mV,1502
34.591,static,vcc_pmc,mV,877
34.595,static,vcc_psfp,mV,878
34.597,static,vcc_pslp,mV,880
34.601,static,vcc_soc,mV,804
34.604,static,vp_vn,mV,129
34.608,static,die_temp,mC,37171
34.610,static,versal_thermal,mC,37015
35.119,static,vccaux,mV,1502
35.122,static,vccaux_pmc,mV,1502
35.125,static,vcc_pmc,mV,875
35.128,static,vcc_psfp,mV,880
35.132,static,vcc_pslp,mV,880
35.135,static,vcc_soc,mV,805
35.138,static,vp_vn,mV,129
35.142,static,die_temp,mC,37257
35.145,static,versal_thermal,mC,36937
35.653,static,vccaux,mV,1502
35.656,static,vccaux_pmc,mV,1503
35.660,static,vcc_pmc,mV,874
35.663,static,vcc_psfp,mV,879
35.666,static,vcc_pslp,mV,880
35.669,static,vcc_soc,mV,805
35.672,static,vp_vn,mV,129
35.676,static,die_temp,mC,37054
35.679,static,versal_thermal,mC,37445
36.187,static,vccaux,mV,1502
36.191,static,vccaux_pmc,mV,1501
36.194,static,vcc_pmc,mV,876
36.197,static,vcc_psfp,mV,881
36.200,static,vcc_pslp,mV,879
36.203,static,vcc_soc,mV,804
36.207,static,vp_vn,mV,129
36.210,static,die_temp,mC,37382
36.213,static,versal_thermal,mC,37210
36.722,static,vccaux,mV,1503
36.726,static,vccaux_pmc,mV,1502
36.729,static,vcc_pmc,mV,876
36.733,static,vcc_psfp,mV,879
36.736,static,vcc_pslp,mV,879
36.739,static,vcc_soc,mV,803
36.742,static,vp_vn,mV,129
36.745,static,die_temp,mC,37250
36.749,static,versal_thermal,mC,37164
37.257,static,vccaux,mV,1501
37.260,static,vccaux_pmc,mV,1502
37.264,static,vcc_pmc,mV,876
37.267,static,vcc_psfp,mV,878
37.270,static,vcc_pslp,mV,880
37.273,static,vcc_soc,mV,804
37.277,static,vp_vn,mV,129
37.280,static,die_temp,mC,37109
37.283,static,versal_thermal,mC,37515
37.791,static,vccaux,mV,1502
37.794,static,vccaux_pmc,mV,1501
37.798,static,vcc_pmc,mV,876
37.801,static,vcc_psfp,mV,880
37.804,static,vcc_pslp,mV,880
37.807,static,vcc_soc,mV,804
37.810,static,vp_vn,mV,129
37.814,static,die_temp,mC,37070
37.817,static,versal_thermal,mC,37210
38.325,static,vccaux,mV,1502
38.328,static,vccaux_pmc,mV,1501
38.331,static,vcc_pmc,mV,876
38.335,static,vcc_psfp,mV,875
38.338,static,vcc_pslp,mV,879
38.341,static,vcc_soc,mV,807
38.344,static,vp_vn,mV,128
38.347,static,die_temp,mC,37351
38.350,static,versal_thermal,mC,37265
38.859,static,vccaux,mV,1503
38.862,static,vccaux_pmc,mV,1501
38.865,static,vcc_pmc,mV,876
38.869,static,vcc_psfp,mV,878
38.872,static,vcc_pslp,mV,880
38.875,static,vcc_soc,mV,805
38.878,static,vp_vn,mV,129
38.881,static,die_temp,mC,37062
38.885,static,versal_thermal,mC,37226
39.393,static,vccaux,mV,1502
39.396,static,vccaux_pmc,mV,1501
39.399,static,vcc_pmc,mV,877
39.403,static,vcc_psfp,mV,874
39.406,static,vcc_pslp,mV,880
39.409,static,vcc_soc,mV,804
39.412,static,vp_vn,mV,129
39.415,static,die_temp,mC,37085
39.418,static,versal_thermal,mC,36906
39.927,static,vccaux,mV,1502
39.930,static,vccaux_pmc,mV,1501
39.933,static,vcc_pmc,mV,876
39.936,static,vcc_psfp,mV,880
39.940,static,vcc_pslp,mV,880
39.943,static,vcc_soc,mV,805
39.946,static,vp_vn,mV,129
39.949,static,die_temp,mC,37101
39.952,static,versal_thermal,mC,36906
40.461,static,vccaux,mV,1503
40.464,static,vccaux_pmc,mV,1501
40.467,static,vcc_pmc,mV,876
40.470,static,vcc_psfp,mV,877
40.473,static,vcc_pslp,mV,879
40.477,static,vcc_soc,mV,805
40.480,static,vp_vn,mV,129
40.483,static,die_temp,mC,37476
40.486,static,versal_thermal,mC,37078
40.995,static,vccaux,mV,1502
40.998,static,vccaux_pmc,mV,1503
41.001,static,vcc_pmc,mV,875
41.004,static,vcc_psfp,mV,878
41.008,static,vcc_pslp,mV,880
41.012,static,vcc_soc,mV,803
41.015,static,vp_vn,mV,129
41.019,static,die_temp,mC,37070
41.022,static,versal_thermal,mC,37148
41.530,static,vccaux,mV,1503
41.533,static,vccaux_pmc,mV,1502
41.536,static,vcc_pmc,mV,876
41.540,static,vcc_psfp,mV,878
41.543,static,vcc_pslp,mV,880
41.546,static,vcc_soc,mV,805
41.549,static,vp_vn,mV,129
41.553,static,die_temp,mC,37343
41.556,static,versal_thermal,mC,37273
42.065,static,vccaux,mV,1501
42.069,static,vccaux_pmc,mV,1501
42.071,static,vcc_pmc,mV,876
42.075,static,vcc_psfp,mV,879
42.079,static,vcc_pslp,mV,879
42.081,static,vcc_soc,mV,803
42.085,static,vp_vn,mV,128
42.088,static,die_temp,mC,36953
42.091,static,versal_thermal,mC,37062
42.599,static,vccaux,mV,1501
42.603,static,vccaux_pmc,mV,1500
42.606,static,vcc_pmc,mV,877
42.609,static,vcc_psfp,mV,880
42.613,static,vcc_pslp,mV,880
42.616,static,vcc_soc,mV,803
42.619,static,vp_vn,mV,129
42.622,static,die_temp,mC,37507
42.626,static,versal_thermal,mC,37242
43.135,static,vccaux,mV,1502
43.137,static,vccaux_pmc,mV,1502
43.141,static,vcc_pmc,mV,876
43.145,static,vcc_psfp,mV,878
43.147,static,vcc_pslp,mV,880
43.151,static,vcc_soc,mV,805
43.154,static,vp_vn,mV,128
43.158,static,die_temp,mC,37046
43.160,static,versal_thermal,mC,37101
43.669,static,vccaux,mV,1502
43.672,static,vccaux_pmc,mV,1501
43.676,static,vcc_pmc,mV,876
43.679,static,vcc_psfp,mV,878
43.682,static,vcc_pslp,mV,879
43.686,static,vcc_soc,mV,805
43.688,static,vp_vn,mV,129
43.692,static,die_temp,mC,37062
43.695,static,versal_thermal,mC,37335
44.204,static,vccaux,mV,1503
44.206,static,vccaux_pmc,mV,1501
44.210,static,vcc_pmc,mV,876
44.214,static,vcc_psfp,mV,880
44.216,static,vcc_pslp,mV,879
44.219,static,vcc_soc,mV,805
44.223,static,vp_vn,mV,128
44.226,static,die_temp,mC,37203
44.230,static,versal_thermal,mC,37023
44.741,static,vccaux,mV,1502
44.742,static,vccaux_pmc,mV,1500
44.746,static,vcc_pmc,mV,876
44.749,static,vcc_psfp,mV,881
44.753,static,vcc_pslp,mV,879
44.756,static,vcc_soc,mV,803
44.759,static,vp_vn,mV,129
44.763,static,die_temp,mC,37421
44.766,static,versal_thermal,mC,37257
45.275,static,vccaux,mV,1502
